id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome
441,2013,Ranchi,2013-05-12,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,Jh Kallis,Jsca International Stadium Complex,Nj Llong,K Srinath,Target is chased
442,2013,Jaipur,2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,5,Sr Watson,Sawai Mansingh Stadium,Hdpk Dharmasena,Ck Nandan,Target is chased
443,2013,Delhi,2013-04-23,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,5,Harmeet Singh,Feroz Shah Kotla,Va Kulkarni,K Srinath,Target is chased
444,2013,Mumbai,2013-05-13,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,Ka Pollard,Wankhede Stadium,Ak Chaudhary,Sja Taufel,Target is chased
445,2013,Ranchi,2013-05-15,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Pune Warriors,7,0,Mk Pandey,Jsca International Stadium Complex,Nj Llong,K Srinath,Target is defended
446,2013,Chennai,2013-05-14,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,33,0,Ms Dhoni,"Ma Chidambaram Stadium, Chepauk",C Shamshuddin,Rj Tucker,Target is defended
447,2013,Mumbai,2013-05-15,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,14,0,Ap Tare,Wankhede Stadium,Asad Rauf,S Asnani,Target is defended
448,2013,Chandigarh,2013-05-06,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Da Miller,"Punjab Cricket Association Stadium, Mohali",Va Kulkarni,Nj Llong,Target is chased
449,2013,Hyderabad,2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,23,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,Ak Chaudhary,Target is defended
450,2013,Dharamsala,2013-05-18,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings Xi Punjab,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,Hdpk Dharmasena,Ck Nandan,Target is defended
451,2013,Pune,2013-05-19,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Pune Warriors,38,0,Lj Wright,Subrata Roy Sahara Stadium,Nj Llong,Sja Taufel,Target is defended
452,2013,Bangalore,2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,Rj Tucker,Target is defended
453,2013,Hyderabad,2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,0,5,Pa Patel,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,S Asnani,Target is chased
454,2013,Delhi,2013-05-21,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,48,0,Mek Hussey,Feroz Shah Kotla,Nj Llong,Rj Tucker,Target is defended
455,2013,Delhi,2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,4,Bj Hodge,Feroz Shah Kotla,S Ravi,Rj Tucker,Target is chased
456,2013,Kolkata,2013-05-24,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,Sja Taufel,Target is chased
457,2013,Kolkata,2013-05-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,23,0,Ka Pollard,Eden Gardens,Hdpk Dharmasena,Sja Taufel,Target is defended
458,2014,Abu Dhabi,2014-04-16,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,41,0,Jh Kallis,Sheikh Zayed Stadium,M Erasmus,Rk Illingworth,Target is defended
459,2014,Sharjah,2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ys Chahal,Sharjah Cricket Stadium,Aleem Dar,S Ravi,Target is chased
460,2014,Abu Dhabi,2014-04-18,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Kings Xi Punjab,0,6,Gj Maxwell,Sheikh Zayed Stadium,Rk Illingworth,C Shamshuddin,Target is chased
461,2014,Abu Dhabi,2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,Am Rahane,Sheikh Zayed Stadium,Bf Bowden,Rk Illingworth,Target is chased
462,2014,Unknown,2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Pa Patel,Dubai International Cricket Stadium,Aleem Dar,Ak Chaudhary,Target is chased
463,2014,Unknown,2014-04-19,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,4,Jp Duminy,Dubai International Cricket Stadium,Aleem Dar,Va Kulkarni,Target is chased
464,2014,Sharjah,2014-04-20,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Gj Maxwell,Sharjah Cricket Stadium,Bf Bowden,M Erasmus,Target is chased
465,2014,Abu Dhabi,2014-04-21,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,93,0,Sk Raina,Sheikh Zayed Stadium,Rk Illingworth,C Shamshuddin,Target is defended
466,2014,Sharjah,2014-04-22,Kings Xi Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings Xi Punjab,72,0,Gj Maxwell,Sharjah Cricket Stadium,M Erasmus,S Ravi,Target is defended
467,2014,Unknown,2014-04-23,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,7,0,Ra Jadeja,Dubai International Cricket Stadium,Hdpk Dharmasena,Rk Illingworth,Target is defended
468,2014,Sharjah,2014-04-24,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,2,0,Ca Lynn,Sharjah Cricket Stadium,Aleem Dar,Va Kulkarni,Target is defended
469,2014,Unknown,2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,4,0,Aj Finch,Dubai International Cricket Stadium,M Erasmus,S Ravi,Target is defended
470,2014,Unknown,2014-04-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,Mm Sharma,Dubai International Cricket Stadium,Bf Bowden,M Erasmus,Target is chased
471,2014,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Pv Tambe,Sheikh Zayed Stadium,Hdpk Dharmasena,C Shamshuddin,Target is chased
472,2014,Abu Dhabi,2014-04-26,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,23,0,Sandeep Sharma,Sheikh Zayed Stadium,Hdpk Dharmasena,Rk Illingworth,Target is defended
473,2014,Sharjah,2014-04-27,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,6,M Vijay,Sharjah Cricket Stadium,Aleem Dar,Va Kulkarni,Target is chased
474,2014,Sharjah,2014-04-27,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,normal,0,Chennai Super Kings,0,5,Dr Smith,Sharjah Cricket Stadium,Ak Chaudhary,Va Kulkarni,Target is chased
475,2014,Unknown,2014-04-28,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,5,Sandeep Sharma,Dubai International Cricket Stadium,Bf Bowden,S Ravi,Target is chased
476,2014,Abu Dhabi,2014-04-29,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,tie,0,Rajasthan Royals,0,0,Jp Faulkner,Sheikh Zayed Stadium,Aleem Dar,Ak Chaudhary,Tie/No Result
477,2014,Unknown,2014-04-30,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,15,0,B Kumar,Dubai International Cricket Stadium,Hdpk Dharmasena,M Erasmus,Target is defended
478,2014,Ranchi,2014-05-02,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,34,0,Ra Jadeja,Jsca International Stadium Complex,Ak Chaudhary,Nj Llong,Target is defended
479,2014,Mumbai,2014-05-03,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Mumbai Indians,0,5,Cj Anderson,Wankhede Stadium,Bnj Oxenford,C Shamshuddin,Target is chased
480,2014,Delhi,2014-05-03,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Kk Nair,Feroz Shah Kotla,Ss Hazare,S Ravi,Target is chased
481,2014,Bangalore,2014-05-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,4,Ab De Villiers,M Chinnaswamy Stadium,Hdpk Dharmasena,Va Kulkarni,Target is chased
482,2014,Ahmedabad,2014-05-05,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,10,0,Pv Tambe,"Sardar Patel Stadium, Motera",Nj Llong,Ck Nandan,Target is defended
483,2014,Delhi,2014-05-05,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,8,Dr Smith,Feroz Shah Kotla,Rm Deshpande,Bnj Oxenford,Target is chased
484,2014,Mumbai,2014-05-06,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,19,0,Rg Sharma,Wankhede Stadium,S Ravi,K Srinath,Target is defended
485,2014,Delhi,2014-05-07,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,Feroz Shah Kotla,Bnj Oxenford,C Shamshuddin,Target is chased
486,2014,Cuttack,2014-05-07,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Kings Xi Punjab,44,0,Gj Maxwell,Barabati Stadium,Hdpk Dharmasena,Pg Pathak,Target is defended
487,2014,Ahmedabad,2014-05-08,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",Ak Chaudhary,Nj Llong,Target is defended
488,2014,Bangalore,2014-05-09,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kings Xi Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,Target is defended
489,2014,Delhi,2014-05-10,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,1,Sunrisers Hyderabad,0,8,Dw Steyn,Feroz Shah Kotla,Rm Deshpande,Bnj Oxenford,Target is chased
490,2014,Mumbai,2014-05-10,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Dr Smith,Wankhede Stadium,Hdpk Dharmasena,Va Kulkarni,Target is chased
491,2014,Cuttack,2014-05-11,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,9,G Gambhir,Barabati Stadium,Nj Llong,Ck Nandan,Target is chased
492,2014,Bangalore,2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Rajasthan Royals,0,5,Jp Faulkner,M Chinnaswamy Stadium,S Ravi,Rj Tucker,Target is chased
493,2014,Hyderabad,2014-05-12,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,0,Mumbai Indians,0,7,At Rayudu,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Va Kulkarni,Target is chased
494,2014,Ranchi,2014-05-13,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,5,Ra Jadeja,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased
495,2014,Bangalore,2014-05-13,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,Rj Tucker,Target is defended
496,2014,Hyderabad,2014-05-14,Sunrisers Hyderabad,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Wp Saha,"Rajiv Gandhi International Stadium, Uppal",Va Kulkarni,Pg Pathak,Target is chased
497,2014,Cuttack,2014-05-14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Rv Uthappa,Barabati Stadium,Ak Chaudhary,Nj Llong,Target is chased
498,2014,Ahmedabad,2014-05-15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,62,0,Am Rahane,"Sardar Patel Stadium, Motera",S Ravi,Rj Tucker,Target is defended
499,2014,Ranchi,2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,5,Ab De Villiers,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased
500,2014,Hyderabad,2014-05-18,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,Ut Yadav,"Rajiv Gandhi International Stadium, Uppal",Nj Llong,Ck Nandan,Target is chased
501,2014,Ahmedabad,2014-05-19,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,Mek Hussey,"Sardar Patel Stadium, Motera",S Ravi,Rj Tucker,Target is defended
502,2014,Delhi,2014-05-19,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,4,Ar Patel,Feroz Shah Kotla,Hdpk Dharmasena,Pg Pathak,Target is chased
503,2014,Hyderabad,2014-05-20,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,0,7,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,Nj Llong,Target is chased
504,2014,Kolkata,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,Rv Uthappa,Eden Gardens,Rm Deshpande,C Shamshuddin,Target is chased
505,2014,Chandigarh,2014-05-21,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,Lmp Simmons,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Va Kulkarni,Target is chased
506,2014,Kolkata,2014-05-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,30,0,Rv Uthappa,Eden Gardens,Ak Chaudhary,Ck Nandan,Target is defended
507,2014,Ranchi,2014-05-22,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,Da Warner,Jsca International Stadium Complex,Bnj Oxenford,C Shamshuddin,Target is chased
508,2014,Mumbai,2014-05-23,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,15,0,Mek Hussey,Wankhede Stadium,S Ravi,Rj Tucker,Target is defended
