id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
211,2010,Chennai,2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",S Asnani,Dj Harper,Target is defended,Team1 Home
212,2010,Jaipur,2010-04-07,Kings Xi Punjab,Rajasthan Royals,Kings Xi Punjab,bat,normal,0,Rajasthan Royals,0,9,Mj Lumb,Sawai Mansingh Stadium,S Ravi,Sk Tarapore,Target is chased,Neutral
213,2010,Kolkata,2010-04-07,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,Sc Ganguly,Eden Gardens,Bg Jerling,Re Koertzen,Target is defended,Team1 Home
214,2010,Bangalore,2010-04-08,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,Tl Suman,M Chinnaswamy Stadium,S Asnani,Dj Harper,Target is chased,Team1 Home
215,2010,Chandigarh,2010-04-09,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Kings Xi Punjab,0,6,Kc Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,Am Saheba,Target is chased,Neutral
216,2010,Nagpur,2010-04-10,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Deccan Chargers,0,6,Rj Harris,"Vidarbha Cricket Association Stadium, Jamtha",Hdpk Dharmasena,Sja Taufel,Target is chased,Neutral
217,2010,Bangalore,2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,Dj Harper,Target is chased,Team2 Home
218,2010,Delhi,2010-04-11,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,0,Kings Xi Punjab,0,7,Pp Chawla,Feroz Shah Kotla,Bf Bowden,Am Saheba,Target is chased,Team1 Home
219,2010,Jaipur,2010-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,Sr Tendulkar,Sawai Mansingh Stadium,Br Doctrove,Sk Tarapore,Target is defended,Neutral
220,2010,Nagpur,2010-04-12,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Re Koertzen,Rb Tiffin,Target is defended,Neutral
221,2010,Mumbai,2010-04-13,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,Ka Pollard,Brabourne Stadium,S Asnani,Dj Harper,Target is defended,Team1 Home
222,2010,Chennai,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,R Ashwin,"Ma Chidambaram Stadium, Chepauk",Ss Hazare,Sja Taufel,Target is chased,Team2 Home
223,2010,Jaipur,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,Kp Pietersen,Sawai Mansingh Stadium,Br Doctrove,S Ravi,Target is chased,Neutral
224,2010,Chennai,2010-04-15,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,G Gambhir,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Ss Hazare,Target is chased,Team1 Home
225,2010,Dharamsala,2010-04-16,Kings Xi Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,Rg Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,Am Saheba,Target is chased,Neutral
226,2010,Bangalore,2010-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R Mclaren,M Chinnaswamy Stadium,Hdpk Dharmasena,Sja Taufel,Target is defended,Team2 Home
227,2010,Kolkata,2010-04-17,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,Jd Unadkat,Eden Gardens,Bg Jerling,Rb Tiffin,Target is chased,Team2 Home
228,2010,Dharamsala,2010-04-18,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Ms Dhoni,Himachal Pradesh Cricket Association Stadium,Bf Bowden,Am Saheba,Target is chased,Neutral
229,2010,Delhi,2010-04-18,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,Br Doctrove,Sk Tarapore,Target is defended,Team2 Home
