id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
295,2011,Mumbai,2011-05-16,Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,A Mishra,Dr Dy Patil Sports Academy,S Ravi,Sk Tarapore,Target is chased,Neutral
296,2011,Dharamsala,2011-05-17,Kings Xi Punjab,Royal Challengers Bangalore,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,111,0,Ac Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Am Saheba,Target is defended,Neutral
297,2011,Chennai,2011-05-18,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,normal,0,Chennai Super Kings,11,0,Wp Saha,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Re Koertzen,Target is defended,Team1 Home
298,2011,Mumbai,2011-05-19,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Yk Pathan,Dr Dy Patil Sports Academy,S Ravi,Sja Taufel,Target is chased,Neutral
299,2011,Mumbai,2011-05-20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,10,Sr Watson,Wankhede Stadium,Re Koertzen,Pr Reiffel,Target is chased,Team1 Home
300,2011,Dharamsala,2011-05-21,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,Am Saheba,Target is defended,Neutral
301,2011,Delhi,2011-05-21,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,no result,0,Unknown,0,0,Unknown,Feroz Shah Kotla,Ss Hazare,Rj Tucker,Tie/No Result,Team1 Home
302,2011,Bangalore,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ch Gayle,M Chinnaswamy Stadium,K Hariharan,Re Koertzen,Target is chased,Team2 Home
303,2011,Kolkata,2011-05-22,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Jec Franklin,Eden Gardens,Sk Tarapore,Sja Taufel,Target is chased,Team1 Home
304,2011,Mumbai,2011-05-24,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Sk Raina,Wankhede Stadium,Asad Rauf,Sja Taufel,Target is chased,Neutral
305,2011,Mumbai,2011-05-25,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Mm Patel,Wankhede Stadium,Asad Rauf,Sja Taufel,Target is chased,Team2 Home
306,2011,Chennai,2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,43,0,Ch Gayle,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Sja Taufel,Target is defended,Neutral
307,2011,Chennai,2011-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,58,0,M Vijay,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Sja Taufel,Target is defended,Team1 Home
308,2012,Chennai,2012-04-04,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Re Levi,"Ma Chidambaram Stadium, Chepauk",Jd Cloete,Sja Taufel,Target is chased,Team1 Home
309,2012,Kolkata,2012-04-05,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,Ik Pathan,Eden Gardens,S Asnani,Hdpk Dharmasena,Target is chased,Team1 Home
310,2012,Mumbai,2012-04-06,Pune Warriors,Mumbai Indians,Mumbai Indians,field,normal,0,Pune Warriors,28,0,Spd Smith,Wankhede Stadium,Ak Chaudhary,Sja Taufel,Target is defended,Team2 Home
311,2012,Jaipur,2012-04-06,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,31,0,Am Rahane,Sawai Mansingh Stadium,Bf Bowden,Sk Tarapore,Target is defended,Neutral
312,2012,Bangalore,2012-04-07,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,20,0,Ab De Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,Target is defended,Team1 Home
313,2012,Visakhapatnam,2012-04-07,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Chennai Super Kings,74,0,Ra Jadeja,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Jd Cloete,Hdpk Dharmasena,Target is defended,Neutral
314,2012,Jaipur,2012-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,22,0,Bj Hodge,Sawai Mansingh Stadium,Bf Bowden,Va Kulkarni,Target is defended,Neutral
315,2012,Pune,2012-04-08,Pune Warriors,Kings Xi Punjab,Pune Warriors,bat,normal,0,Pune Warriors,22,0,Mn Samuels,Subrata Roy Sahara Stadium,S Das,Sja Taufel,Target is defended,Team1 Home
316,2012,Visakhapatnam,2012-04-09,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Mumbai Indians,0,5,Rg Sharma,Dr. Y.S. Rajasekhara Reddy Aca-Vdca Cricket Stadium,Ak Chaudhary,Jd Cloete,Target is chased,Neutral
317,2012,Bangalore,2012-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,Rj Tucker,Target is defended,Team2 Home
318,2012,Delhi,2012-04-10,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,Sk Tarapore,Target is chased,Team2 Home
319,2012,Mumbai,2012-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,27,0,Ka Pollard,Wankhede Stadium,Aleem Dar,Bnj Oxenford,Target is defended,Team1 Home
320,2012,Chennai,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,F Du Plessis,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Rj Tucker,Target is chased,Team2 Home
321,2012,Chandigarh,2012-04-12,Pune Warriors,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,7,Ad Mascarenhas,"Punjab Cricket Association Stadium, Mohali",Va Kulkarni,Sk Tarapore,Target is chased,Neutral
322,2012,Kolkata,2012-04-13,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,Target is chased,Team2 Home
323,2012,Delhi,2012-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,5,Kp Pietersen,Feroz Shah Kotla,Bf Bowden,Sk Tarapore,Target is chased,Team2 Home
324,2012,Pune,2012-04-14,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,normal,0,Pune Warriors,0,7,Jd Ryder,Subrata Roy Sahara Stadium,Aleem Dar,Bnj Oxenford,Target is chased,Team2 Home
325,2012,Kolkata,2012-04-15,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,2,0,Sp Narine,Eden Gardens,Asad Rauf,S Asnani,Target is defended,Team2 Home
326,2012,Bangalore,2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Rajasthan Royals,59,0,Am Rahane,M Chinnaswamy Stadium,Jd Cloete,Rj Tucker,Target is defended,Team2 Home
327,2012,Mumbai,2012-04-16,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,S Nadeem,Wankhede Stadium,Bf Bowden,Sk Tarapore,Target is chased,Team1 Home
328,2012,Jaipur,2012-04-17,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,5,Bj Hodge,Sawai Mansingh Stadium,Aleem Dar,Bnj Oxenford,Target is chased,Neutral
329,2012,Bangalore,2012-04-17,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,Royal Challengers Bangalore,0,6,Ch Gayle,M Chinnaswamy Stadium,S Asnani,S Das,Target is chased,Team2 Home
330,2012,Chandigarh,2012-04-18,Kings Xi Punjab,Kolkata Knight Riders,Kings Xi Punjab,bat,normal,0,Kolkata Knight Riders,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Jd Cloete,Rj Tucker,Target is chased,Neutral
331,2012,Hyderabad,2012-05-10,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Delhi Daredevils,0,9,Da Warner,"Rajiv Gandhi International Stadium, Uppal",Jd Cloete,Sja Taufel,Target is chased,Neutral
332,2012,Chennai,2012-04-19,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,13,0,Kmdn Kulasekara,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,S Das,Target is defended,Team1 Home
333,2012,Chandigarh,2012-04-20,Kings Xi Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,Ch Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,Rj Tucker,Target is chased,Neutral
334,2012,Chennai,2012-04-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,F Du Plessis,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Bnj Oxenford,Target is chased,Team2 Home
335,2012,Delhi,2012-04-21,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Pune Warriors,20,0,Sc Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,Target is defended,Team2 Home
336,2012,Mumbai,2012-04-22,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Kings Xi Punjab,0,6,Se Marsh,Wankhede Stadium,S Ravi,Rj Tucker,Target is chased,Team1 Home
337,2012,Cuttack,2012-04-22,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,B Lee,Barabati Stadium,Bf Bowden,Sk Tarapore,Target is chased,Neutral
338,2012,Jaipur,2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Royal Challengers Bangalore,46,0,Ab De Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,Target is defended,Neutral
339,2012,Pune,2012-04-24,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Delhi Daredevils,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,Rj Tucker,Target is chased,Team1 Home
340,2012,Chandigarh,2012-04-25,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Mumbai Indians,0,4,At Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,Bnj Oxenford,Target is chased,Neutral
341,2012,Pune,2012-04-26,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,18,0,Cl White,Subrata Roy Sahara Stadium,S Ravi,Rj Tucker,Target is defended,Team2 Home
342,2012,Delhi,2012-04-27,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Daredevils,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,Bnj Oxenford,Target is defended,Team1 Home
343,2012,Chennai,2012-04-28,Kings Xi Punjab,Chennai Super Kings,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,7,0,Mandeep Singh,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,Sk Tarapore,Target is defended,Team2 Home
344,2012,Kolkata,2012-04-28,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,47,0,G Gambhir,Eden Gardens,Asad Rauf,Br Doctrove,Target is defended,Team1 Home
345,2012,Delhi,2012-04-29,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,Rj Tucker,Target is defended,Team1 Home
346,2012,Mumbai,2012-04-29,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Dw Steyn,Wankhede Stadium,Ak Chaudhary,Bnj Oxenford,Target is chased,Team2 Home
347,2012,Chennai,2012-04-30,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,G Gambhir,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,C Shamshuddin,Target is chased,Team1 Home
348,2012,Cuttack,2012-05-01,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,13,0,Kc Sangakkara,Barabati Stadium,Aleem Dar,Ak Chaudhary,Target is defended,Neutral
349,2012,Jaipur,2012-05-01,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Delhi Daredevils,0,6,P Negi,Sawai Mansingh Stadium,Jd Cloete,Sja Taufel,Target is chased,Neutral
350,2012,Bangalore,2012-05-02,Royal Challengers Bangalore,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,Bf Bowden,C Shamshuddin,Target is chased,Team1 Home
351,2012,Pune,2012-05-03,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,1,0,Sl Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,Target is defended,Team2 Home
352,2012,Chennai,2012-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,10,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Bnj Oxenford,Target is defended,Team1 Home
353,2012,Kolkata,2012-05-05,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,7,0,Sp Narine,Eden Gardens,Bf Bowden,Sk Tarapore,Target is defended,Team1 Home
354,2012,Chandigarh,2012-05-05,Rajasthan Royals,Kings Xi Punjab,Rajasthan Royals,bat,normal,0,Rajasthan Royals,43,0,Sr Watson,"Punjab Cricket Association Stadium, Mohali",Jd Cloete,Sja Taufel,Target is defended,Neutral
355,2012,Mumbai,2012-05-06,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,2,Dr Smith,Wankhede Stadium,Asad Rauf,S Asnani,Target is chased,Team2 Home
356,2012,Bangalore,2012-05-06,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,5,Ab De Villiers,M Chinnaswamy Stadium,Hdpk Dharmasena,Bnj Oxenford,Target is chased,Team2 Home
357,2012,Delhi,2012-05-07,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Kolkata Knight Riders,0,6,Jh Kallis,Feroz Shah Kotla,Jd Cloete,S Ravi,Target is chased,Team1 Home
358,2012,Pune,2012-05-08,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,normal,0,Rajasthan Royals,0,7,Sr Watson,Subrata Roy Sahara Stadium,Asad Rauf,Br Doctrove,Target is chased,Team1 Home
359,2012,Hyderabad,2012-05-08,Kings Xi Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings Xi Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Bnj Oxenford,Target is defended,Neutral
360,2012,Mumbai,2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,Wankhede Stadium,Bf Bowden,Va Kulkarni,Target is chased,Team1 Home
361,2012,Jaipur,2012-05-10,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Bw Hilfenhaus,Sawai Mansingh Stadium,Bnj Oxenford,C Shamshuddin,Target is chased,Neutral
362,2012,Pune,2012-05-11,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,35,0,Ch Gayle,Subrata Roy Sahara Stadium,Bf Bowden,Sk Tarapore,Target is defended,Team2 Home
363,2012,Kolkata,2012-05-12,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,27,0,Rg Sharma,Eden Gardens,S Ravi,Sja Taufel,Target is defended,Team2 Home
364,2012,Chennai,2012-05-12,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,Bw Hilfenhaus,"Ma Chidambaram Stadium, Chepauk",S Das,Br Doctrove,Target is chased,Team2 Home
365,2012,Jaipur,2012-05-13,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Rajasthan Royals,45,0,A Chandila,Sawai Mansingh Stadium,Bf Bowden,Sk Tarapore,Target is defended,Neutral
366,2012,Chandigarh,2012-05-13,Deccan Chargers,Kings Xi Punjab,Deccan Chargers,bat,normal,0,Kings Xi Punjab,0,4,Dj Hussey,"Punjab Cricket Association Stadium, Mohali",Hdpk Dharmasena,Bnj Oxenford,Target is chased,Neutral
367,2012,Bangalore,2012-05-14,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,At Rayudu,M Chinnaswamy Stadium,S Das,Br Doctrove,Target is chased,Team1 Home
368,2012,Kolkata,2012-05-14,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,5,Mek Hussey,Eden Gardens,Jd Cloete,Sja Taufel,Target is chased,Team1 Home
369,2012,Delhi,2012-05-15,Kings Xi Punjab,Delhi Daredevils,Kings Xi Punjab,bat,normal,0,Delhi Daredevils,0,5,Ut Yadav,Feroz Shah Kotla,Hdpk Dharmasena,Bnj Oxenford,Target is chased,Team2 Home
370,2012,Mumbai,2012-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,Kolkata Knight Riders,32,0,Sp Narine,Wankhede Stadium,S Das,Br Doctrove,Target is defended,Team2 Home
371,2012,Dharamsala,2012-05-17,Chennai Super Kings,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,Ac Gilchrist,Himachal Pradesh Cricket Association Stadium,Va Kulkarni,Sk Tarapore,Target is chased,Neutral
372,2012,Delhi,2012-05-17,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,Royal Challengers Bangalore,21,0,Ch Gayle,Feroz Shah Kotla,Hdpk Dharmasena,C Shamshuddin,Target is defended,Team2 Home
373,2012,Hyderabad,2012-05-18,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Deccan Chargers,0,5,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is chased,Neutral
374,2012,Dharamsala,2012-05-19,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Ut Yadav,Himachal Pradesh Cricket Association Stadium,Bf Bowden,Va Kulkarni,Target is chased,Neutral
375,2012,Pune,2012-05-19,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,Br Doctrove,Target is defended,Team2 Home
376,2012,Hyderabad,2012-05-20,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,9,0,Dw Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is defended,Neutral
377,2012,Jaipur,2012-05-20,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,0,10,Dr Smith,Sawai Mansingh Stadium,Hdpk Dharmasena,C Shamshuddin,Target is chased,Neutral
378,2012,Pune,2012-05-22,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,18,0,Yk Pathan,Subrata Roy Sahara Stadium,Br Doctrove,Sja Taufel,Target is defended,Neutral
379,2012,Bangalore,2012-05-23,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Chennai Super Kings,38,0,Ms Dhoni,M Chinnaswamy Stadium,Bf Bowden,Hdpk Dharmasena,Target is defended,Neutral
380,2012,Chennai,2012-05-25,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,86,0,M Vijay,"Ma Chidambaram Stadium, Chepauk",Br Doctrove,Sja Taufel,Target is defended,Team1 Home
381,2012,Chennai,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,5,Ms Bisla,"Ma Chidambaram Stadium, Chepauk",Bf Bowden,Sja Taufel,Target is chased,Team1 Home
382,2013,Kolkata,2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Sp Narine,Eden Gardens,S Ravi,Sja Taufel,Target is chased,Team2 Home
383,2013,Bangalore,2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,2,0,Ch Gayle,M Chinnaswamy Stadium,Va Kulkarni,C Shamshuddin,Target is defended,Team1 Home
384,2013,Hyderabad,2013-04-05,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,22,0,A Mishra,"Rajiv Gandhi International Stadium, Uppal",S Ravi,Sja Taufel,Target is defended,Team1 Home
385,2013,Delhi,2013-04-06,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,Rajasthan Royals,5,0,R Dravid,Feroz Shah Kotla,S Das,C Shamshuddin,Target is defended,Team2 Home
386,2013,Chennai,2013-04-06,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,Ka Pollard,"Ma Chidambaram Stadium, Chepauk",M Erasmus,Va Kulkarni,Target is defended,Team2 Home
387,2013,Pune,2013-04-07,Pune Warriors,Kings Xi Punjab,Pune Warriors,bat,normal,0,Kings Xi Punjab,0,8,M Vohra,Subrata Roy Sahara Stadium,S Asnani,Sja Taufel,Target is chased,Team1 Home
388,2013,Hyderabad,2013-04-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,tie,0,Sunrisers Hyderabad,0,0,Gh Vihari,"Rajiv Gandhi International Stadium, Uppal",Ak Chaudhary,S Ravi,Tie/No Result,Team2 Home
389,2013,Jaipur,2013-04-08,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Rajasthan Royals,19,0,Sk Trivedi,Sawai Mansingh Stadium,Aleem Dar,S Das,Target is defended,Neutral
390,2013,Mumbai,2013-04-09,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Mumbai Indians,44,0,Kd Karthik,Wankhede Stadium,M Erasmus,Va Kulkarni,Target is defended,Team1 Home
391,2013,Chandigarh,2013-04-10,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,10,Mek Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,Target is chased,Neutral
392,2013,Bangalore,2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,Ch Gayle,M Chinnaswamy Stadium,Asad Rauf,Ak Chaudhary,Target is chased,Team2 Home
393,2013,Pune,2013-04-11,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,normal,0,Pune Warriors,0,7,Aj Finch,Subrata Roy Sahara Stadium,M Erasmus,K Srinath,Target is chased,Team2 Home
394,2013,Delhi,2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,0,Sunrisers Hyderabad,0,3,A Mishra,Feroz Shah Kotla,Aleem Dar,Subroto Das,Target is chased,Team1 Home
395,2013,Mumbai,2013-04-13,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,normal,0,Mumbai Indians,41,0,Rg Sharma,Wankhede Stadium,S Ravi,Sja Taufel,Target is defended,Team1 Home
396,2013,Chennai,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Ra Jadeja,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Ak Chaudhary,Target is chased,Team2 Home
397,2013,Kolkata,2013-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,48,0,G Gambhir,Eden Gardens,M Erasmus,Va Kulkarni,Target is defended,Team1 Home
398,2013,Jaipur,2013-04-14,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,6,Jp Faulkner,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,Target is chased,Neutral
399,2013,Chennai,2013-04-15,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Pune Warriors,24,0,Spd Smith,"Ma Chidambaram Stadium, Chepauk",Asad Rauf,Ak Chaudhary,Target is defended,Team2 Home
400,2013,Chandigarh,2013-04-16,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kings Xi Punjab,4,0,Ms Gony,"Punjab Cricket Association Stadium, Mohali",Ck Nandan,Sja Taufel,Target is defended,Neutral
401,2013,Bangalore,2013-04-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,Royal Challengers Bangalore,0,0,V Kohli,M Chinnaswamy Stadium,M Erasmus,Va Kulkarni,Tie/No Result,Team2 Home
402,2013,Pune,2013-04-17,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,normal,0,Sunrisers Hyderabad,11,0,A Mishra,Subrata Roy Sahara Stadium,Asad Rauf,Ak Chaudhary,Target is defended,Team2 Home
403,2013,Jaipur,2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,87,0,Am Rahane,Sawai Mansingh Stadium,Aleem Dar,C Shamshuddin,Target is defended,Neutral
404,2013,Delhi,2013-04-18,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Chennai Super Kings,86,0,Mek Hussey,Feroz Shah Kotla,M Erasmus,Va Kulkarni,Target is defended,Team2 Home
405,2013,Hyderabad,2013-04-19,Kings Xi Punjab,Sunrisers Hyderabad,Kings Xi Punjab,bat,normal,0,Sunrisers Hyderabad,0,5,Gh Vihari,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Ck Nandan,Target is chased,Team2 Home
406,2013,Kolkata,2013-04-20,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,4,Ra Jadeja,Eden Gardens,Asad Rauf,Ak Chaudhary,Target is chased,Team1 Home
407,2013,Bangalore,2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,Aleem Dar,C Shamshuddin,Target is chased,Team2 Home
